nom,dataset_count,details
CA Privas Centre Ardèche,1,{'gtfs': 5}
CC du Clermontois,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
SM des transports du bassin de Briey,1,"{'gtfs': 1, 'netex': 1}"
SM4CC,2,"{'gtfs': 1, 'gtfs_rt': 1}"
CA du Bocage Bressuirais,1,"{'gtfs': 2, 'netex': 3}"
CA Terre de Provence,0,{}
CA du Pays de l'Or,1,{'gtfs': 5}
CA Gaillac-Graulhet,4,{'gtfs': 4}
CA du Grand Guéret,1,"{'gtfs': 2, 'netex': 2}"
CC du Genevois,0,{'gtfs': 1}
CC de la Côtière à Montluel,1,{'gtfs': 3}
CC Dombes Saône Vallée,1,"{'gtfs': 2, 'gtfs_rt': 1}"
CC Auray Quiberon Terre Atlantique,0,{'gtfs': 1}
CU d'Alençon,0,{'gtfs': 1}
CA Amiens Métropole,1,"{'gtfs': 2, 'gtfs_rt': 3}"
CA de l'Albigeois (C2A),1,{'gtfs': 3}
CC Retz en Valois,0,{}
CA Agglomération d'Agen,4,"{'gtfs': 5, 'gtfs_rt': 1}"
CA du Pays Ajaccien,1,{'gtfs': 1}
CA du Centre Littoral,2,{'gtfs': 2}
Martinique Transport,3,{'gtfs': 5}
CA de Dembeni / Mamoudzou,0,{}
CC de Marie-Galante,0,{}
CA du Nord Basse-Terre,0,{}
SM des transports urbains du Grand Noumea,1,{'gtfs': 2}
SM des transports du Petit cul de sac marin,1,{'gtfs': 1}
CA du Nord Grande Terre,0,{}
CA Intercommunale de la Réunion Est (CIREST),1,{'gtfs': 1}
CA Intercommunale du Nord de la Réunion (CINOR),0,{}
CA Territoire de la Côte Ouest (TCO),1,{'gtfs': 1}
CA CIVIS (Communauté Intercommunale des Villes Solidaires),1,"{'gtfs': 1, 'gtfs_rt': 3}"
CA Grand Sud Caraïbe,0,{}
CA du Sud,2,"{'gtfs': 2, 'gtfs_rt': 1}"
CA du Bassin d'Arcachon Nord,0,{}
CA Redon Agglomération,1,{'gtfs': 1}
CA Mont-Saint-Michel-Normandie,0,{'gtfs': 1}
CA Agglo Pays d'Issoire,0,{}
CC Pays d'Evian Vallée d'Abondance,1,{'gtfs': 2}
CC des Pays du Sel et du Vermois,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC de la Plaine d'Estrées,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CC Thelloise,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
SM du grand site de Rocamadour,0,{}
CA du Caudrésis et du Catésis,0,{}
CC de l'Ouest Vosgien,1,{'gtfs': 2}
CC du Pays Noyonnais,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CC du Pays de Valois,1,"{'gtfs': 1, 'gtfs_rt': 4, 'netex': 1, 'siri': 2}"
CC Serre-Ponçon,1,{'gtfs': 1}
PETR du Pays de Langres,1,"{'gtfs': 1, 'netex': 1}"
CC du Pays de Sainte-Odile,1,"{'gtfs': 1, 'gtfs_rt': 1, 'netex': 1}"
CC du Pays Sabolien,1,"{'gtfs': 2, 'gtfs_rt': 1}"
"CC de Granville, Terre et Mer",1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC Sarlat-Périgord Noir,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC Jalle-Eau-Bourde,1,"{'gtfs': 1, 'netex': 1}"
CA du Pays de Landerneau-Daoulas,2,"{'gbfs': 1, 'gtfs': 2, 'netex': 1}"
CC du Sud Corse,3,"{'gtfs': 4, 'gtfs_rt': 2}"
Pays d'Orange en Provence,1,{'gtfs': 1}
CC Haut Val de Sèvre,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC du Sud Estuaire,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC de l'Ile de Noirmoutier,1,"{'gtfs': 1, 'gtfs_rt': 1}"
CC Mayenne Communauté,1,"{'gtfs': 2, 'gtfs_rt': 1}"
